split,filename,stem,pattern,sample_id,country,center_lon,center_lat,minx,maxx,miny,maxy,width,height,mode,crs,pixel_scale,tiepoint,datetime
test,1013_US_-104.485279_38.138888.tiff,1013_US_-104.485279_38.138888,id_country_lon_lat,1013,US,-104.485279,38.138888,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -11633248.053673122, 4601064.6510726595, 0.0)",
test,1020_US_-90.25865999999999_41.85905.tiff,1020_US_-90.25865999999999_41.85905,id_country_lon_lat,1020,US,-90.25865999999999,41.85905,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10049548.070883209, 5141889.14558378, 0.0)",
test,102_Canada_-123.4636479_48.53739728.tiff,102_Canada_-123.4636479_48.53739728,id_country_lon_lat,102,Canada,-123.4636479,48.53739728,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -13745910.41570802, 6198728.833067569, 0.0)",
test,1044_US_-101.105_47.975.tiff,1044_US_-101.105_47.975,id_country_lon_lat,1044,US,-101.105,47.975,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -11256957.116653925, 6104696.732958507, 0.0)",
test,1052_US_-111.6779_43.9808.tiff,1052_US_-111.6779_43.9808,id_country_lon_lat,1052,US,-111.6779,43.9808,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -12433926.960862126, 5464471.419699863, 0.0)",
test,1060_US_-93.572_43.382.tiff,1060_US_-93.572_43.382,id_country_lon_lat,1060,US,-93.572,43.382,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10418387.392508194, 5372298.076995669, 0.0)",
test,1063_US_-92.95676_41.25995.tiff,1063_US_-92.95676_41.25995,id_country_lon_lat,1063,US,-92.95676,41.25995,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10349899.188992541, 5052760.171469786, 0.0)",
test,1080_US_-88.0699_42.8485.tiff,1080_US_-88.0699_42.8485,id_country_lon_lat,1080,US,-88.0699,42.8485,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -9805896.422214525, 5290940.358405528, 0.0)",
test,1086_US_-96.735_44.343.tiff,1086_US_-96.735_44.343,id_country_lon_lat,1086,US,-96.735,44.343,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10770490.94188732, 5520676.566403588, 0.0)",
test,1089_US_-95.0092_45.275.tiff,1089_US_-95.0092_45.275,id_country_lon_lat,1089,US,-95.0092,45.275,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10578375.764676288, 5666919.004845881, 0.0)",
test,108_Canada_-114.0192106_50.87369164.tiff,108_Canada_-114.0192106_50.87369164,id_country_lon_lat,108,Canada,-114.0192106,50.87369164,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -12694560.46464302, 6600981.5749346465, 0.0)",
test,1091_US_-93.2266_44.3777.tiff,1091_US_-93.2266_44.3777,id_country_lon_lat,1091,US,-93.2266,44.3777,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10379937.640388198, 5526079.392263478, 0.0)",
test,1097_US_-88.7566_43.0869.tiff,1097_US_-88.7566_43.0869,id_country_lon_lat,1097,US,-88.7566,43.0869,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -9882339.516542265, 5327208.280716087, 0.0)",
test,1103_US_-91.15700000000001_43.878.tiff,1103_US_-91.15700000000001_43.878,id_country_lon_lat,1103,US,-91.15700000000001,43.878,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -10149550.82224244, 5448581.77225651, 0.0)",
test,1107_US_-114.344_48.3117.tiff,1107_US_-114.344_48.3117,id_country_lon_lat,1107,US,-114.344,48.3117,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -12730715.855266074, 6160868.155015199, 0.0)",
test,1115_US_-85.29799999999999_42.681000000000004.tiff,1115_US_-85.29799999999999_42.681000000000004,id_country_lon_lat,1115,US,-85.29799999999999,42.681000000000004,,,,,2000,2000,RGBA,WGS 84 / Pseudo-Mercator|WGS 84|,"(2.0, 2.0, 0.0)","(0.0, 0.0, 0.0, -9497329.925684648, 5265542.156164567, 0.0)",
